Article title,Authors,Journal title,Volume,Issue,Pages,Volume year,DOI,Published online date,URL,Article views (as of 24-Jan-2026),Crossref citations (as of 24-Jan-2026)
"European security policy for the people? Public opinion and the EU's Common Foreign, Security and Defence policy",Dirk Peters,European Security,23,4,p388 - p408,2014,10.1080/09662839.2013.875531,03-Mar-2014,https://doi.org/10.1080/09662839.2013.875531,2901.0,15.0
"The impact on remote economies of an expansion of defence capabilities in northern Australia
                  1",E Barber,Defence and Peace Economics,7,1,p33 - p45,1996,10.1080/10430719608404840,19-Oct-2007,https://doi.org/10.1080/10430719608404840,20.0,2.0
European cooperation in maintaining defence equipment in operational condition: an analytical framework derived from economic geography,Droff Josselin,Defense & Security Analysis,38,2,p169 - p189,2022,10.1080/14751798.2022.2062886,19-Apr-2022,https://doi.org/10.1080/14751798.2022.2062886,304.0,4.0
Is the US's PPBS Applicable to European Post-Communist Defence Institutions?,Thomas-Durell Young,The RUSI Journal,161,5,p66 - p75,2016,10.1080/03071847.2016.1253382,05-Dec-2016,https://doi.org/10.1080/03071847.2016.1253382,264.0,3.0
How can systemic perspectives on defence capability development be strengthened?,"Kent E Andersson, Martin Bang, Hans Liwång, Irja Malmio, Therese Tärnholm",Defence Studies,23,3,p399 - p420,2023,10.1080/14702436.2023.2239722,29-Jul-2023,https://doi.org/10.1080/14702436.2023.2239722,3724.0,6.0
Defence spending and the American economy,"Gordon Adams, David Gold",Defence Economics,1,4,p275 - p293,1990,10.1080/10430719008404668,19-Oct-2007,https://doi.org/10.1080/10430719008404668,75.0,12.0
The future of European defence policy: An economic perspective,Keith Hartley,Defence and Peace Economics,14,2,p107 - p115,2003,10.1080/10242690302921,17-Sep-2010,https://doi.org/10.1080/10242690302921,4207.0,55.0
Defence planning as strategic fact: introduction,"Henrik Breitenbauch, André Ken Jakobsson",Defence Studies,18,3,p253 - p261,2018,10.1080/14702436.2018.1497443,07-Aug-2018,https://doi.org/10.1080/14702436.2018.1497443,11329.0,13.0
When is a Defence Review Not a Defence Review?,Andrew Curtis,The RUSI Journal,164,2,p56 - p63,2019,10.1080/03071847.2019.1621482,30-May-2019,https://doi.org/10.1080/03071847.2019.1621482,624.0,0.0
Israel's defence industry: adaptation and growth in a changing arms market,Yoram Evron,Defence Studies,25,2,p301 - p321,2025,10.1080/14702436.2025.2472720,14-Mar-2025,https://doi.org/10.1080/14702436.2025.2472720,7006.0,5.0
US Defence Transformation and Japan's Defence Policy,Noboru Yamaguchi,The RUSI Journal,151,4,p62 - p67,2006,10.1080/03071840609442038,30-Oct-2009,https://doi.org/10.1080/03071840609442038,107.0,0.0
The delineation of defense equipment projects in the UK ministry of defence,"Derrick Neal, Trevor Taylor",Defense & Security Analysis,20,2,p165 - p177,2004,10.1080/1475179042000219125,03-Jun-2010,https://doi.org/10.1080/1475179042000219125,133.0,2.0
Cyclical Properties of Spanish Defence Expenditure,"Noelia Cámara, Maria Dolores Gadea, Claudia Pérez-Forniés",Defence and Peace Economics,25,1,p7 - p22,2014,10.1080/10242694.2013.857459,06-Feb-2014,https://doi.org/10.1080/10242694.2013.857459,224.0,2.0
Defence and the treasury,D J L Moore,The RUSI Journal,137,1,p30 - p34,1992,10.1080/03071849208445568,20-Mar-2008,https://doi.org/10.1080/03071849208445568,12.0,0.0
Defence exports: The challenge ahead,Charles HDES Masefield,The RUSI Journal,140,4,p15 - p18,1995,10.1080/03071849508445937,20-Mar-2008,https://doi.org/10.1080/03071849508445937,20.0,1.0
Developing an indigenous defence ecosystem in the GCC countries: challenges and opportunities,Nitin Agarwala,Defense & Security Analysis,41,4,p561 - p585,2025,10.1080/14751798.2025.2552588,12-Sep-2025,https://doi.org/10.1080/14751798.2025.2552588,146.0,0.0
The economic costs and benefits of UK defence exports: a comment,G SHARP,Defence and Peace Economics,16,1,p59 - p66,2005,10.1080/1024269052000323551,25-Jan-2007,https://doi.org/10.1080/1024269052000323551,252.0,2.0
Defence procurement and industry policy - A Singapore perspective,Chinniah Manohara,Defence and Peace Economics,9,1-2,p119 - p136,1998,10.1080/10430719808404897,19-Oct-2007,https://doi.org/10.1080/10430719808404897,370.0,4.0
Sovereignty at stake? The European Commission's proposal for a Defence and Security Procurement Directive,Johanna Strikwerda,European Security,26,1,p19 - p36,2017,10.1080/09662839.2016.1255198,13-Nov-2016,https://doi.org/10.1080/09662839.2016.1255198,2122.0,13.0
Defence preparedness and readiness,D'Artis Kancs,Defense & Security Analysis,,,p1 - p31,5187,10.1080/14751798.2025.2531708,17-Sep-2025,https://doi.org/10.1080/14751798.2025.2531708,182.0,1.0
The labour party's defence and security policy,David MP Clark,The RUSI Journal,140,2,p11 - p14,1995,10.1080/03071849508445900,20-Mar-2008,https://doi.org/10.1080/03071849508445900,22.0,1.0
Defence spending in Spain,Aurelia Valiño Castro,Defence and Peace Economics,12,5,p395 - p415,2001,10.1080/10430710108404996,19-Oct-2007,https://doi.org/10.1080/10430710108404996,122.0,7.0
UK defence inflation and cost escalation,Keith Hartley,Defence and Peace Economics,27,2,p184 - p207,2016,10.1080/10242694.2015.1093757,19-Oct-2015,https://doi.org/10.1080/10242694.2015.1093757,1451.0,6.0
"Brothers in arms, yet again? Twenty-first century Sino-Russian strategic collaboration in the realm of defence and security","Kjell Engelbrekt, Sofia Ledberg, John Watts",Defence Studies,16,4,p427 - p449,2016,10.1080/14702436.2016.1238747,30-Sep-2016,https://doi.org/10.1080/14702436.2016.1238747,1124.0,10.0
The Place of Management in Defence (and Defence Education),Trevor Taylor,The RUSI Journal,150,2,p24 - p28,2005,10.1080/03071840509441964,30-Oct-2009,https://doi.org/10.1080/03071840509441964,250.0,0.0
THE END OF A 'NATIONAL' DEFENCE INDUSTRY?: Impacts of globalization on the Swedish defence industry,Masako Ikegami,Scandinavian Journal of History,38,4,p436 - p457,2013,10.1080/03468755.2013.823536,14-Aug-2013,https://doi.org/10.1080/03468755.2013.823536,1483.0,12.0
Future Defence Needs: The New Challenges for Defence Industry,Moray Esq Stewart,The RUSI Journal,135,2,p44 - p48,1990,10.1080/03071849008445437,20-Mar-2008,https://doi.org/10.1080/03071849008445437,24.0,0.0
Defence and firm performance in the UK,"Keith Hartley, Stephen Martin, Richard White",Defence and Peace Economics,7,4,p325 - p337,1996,10.1080/10430719608404861,19-Oct-2007,https://doi.org/10.1080/10430719608404861,56.0,8.0
'Garuda shield' vs 'sharp knife': operationalising Indonesia's defence diplomacy,Frega Wenas Inkiriwang,The Pacific Review,34,6,p871 - p900,2021,10.1080/09512748.2020.1772352,27-May-2020,https://doi.org/10.1080/09512748.2020.1772352,1079.0,4.0
Drivers and Impact of European Defence Market Integration: A Literature Meta-Synthesis with Economic Focus,Tobias Mueller,Defence and Peace Economics,36,5,p577 - p612,2025,10.1080/10242694.2024.2396416,26-Aug-2024,https://doi.org/10.1080/10242694.2024.2396416,5921.0,5.0
The defence performance measurement framework: measuring the performance of defence organisations at the strategic level,"Heather Keathley-Herring, Geert Letens, Joaquim Soares, Nathalie Vallet, Eileen van Aken, Wouter van Bockhaven",Defence Studies,22,1,p99 - p122,2022,10.1080/14702436.2021.1994394,28-Oct-2021,https://doi.org/10.1080/14702436.2021.1994394,1209.0,5.0
Food security in light of the war in Ukraine: food studies meets defence studies,Arita Holmberg,Defence Studies,24,4,p543 - p558,2024,10.1080/14702436.2024.2378793,18-Jul-2024,https://doi.org/10.1080/14702436.2024.2378793,2826.0,5.0
'I have seen the future and it works': The US defence industry transformation - lessons for the UK defence industrial base,KEITH HAYWARD,Defence and Peace Economics,16,2,p127 - p141,2005,10.1080/1024269032000110559c,23-Nov-2017,https://doi.org/10.1080/1024269032000110559c,352.0,5.0
"Demography, defence budgets, and the transatlantic alliance",Zachary Selden,Journal of Transatlantic Studies,16,1,p59 - p80,2018,10.1080/14794012.2018.1423604,23-Jan-2018,https://doi.org/10.1080/14794012.2018.1423604,207.0,0.0
Capable Companies or Changing Markets? Explaining the Export Performance of Firms in the Defence Industry,"Fulvio Castellacci, Arne Fevolden",Defence and Peace Economics,25,6,p549 - p575,2014,10.1080/10242694.2013.857451,11-Feb-2014,https://doi.org/10.1080/10242694.2013.857451,864.0,15.0
The future: For the defence research agency,Nigel Hughes,The RUSI Journal,136,3,p49 - p51,1991,10.1080/03071849108445535,20-Mar-2008,https://doi.org/10.1080/03071849108445535,6.0,0.0
The Czech defence and security industry: taking the pulse to an ailing man,Bohuslav Pernica,Defense & Security Analysis,36,2,p234 - p244,2020,10.1080/14751798.2020.1750186,20-Apr-2020,https://doi.org/10.1080/14751798.2020.1750186,427.0,5.0
West European defence industrial issues for the 1990s,Trevor Taylor,Defence Economics,4,2,p113 - p121,1993,10.1080/10430719308404754,19-Oct-2007,https://doi.org/10.1080/10430719308404754,17.0,1.0
The Shangri-La Dialogue and the institutionalization of defence diplomacy in Asia,"David Capie, Brendan Taylor",The Pacific Review,23,3,p359 - p376,2010,10.1080/09512748.2010.481053,05-Jul-2010,https://doi.org/10.1080/09512748.2010.481053,1754.0,24.0
Coda: exploring defence planning in future research,"Henrik Breitenbauch, André Ken Jakobsson",Defence Studies,18,3,p391 - p394,2018,10.1080/14702436.2018.1497447,07-Aug-2018,https://doi.org/10.1080/14702436.2018.1497447,406.0,0.0
Foreword,Emma de Angelis,The RUSI Journal,159,6,p3 - p3,2014,10.1080/03071847.2014.997558,23-Dec-2014,https://doi.org/10.1080/03071847.2014.997558,195.0,0.0
The Qatari path to defence localisation: strategic imperatives and the Turkish partnership,Özgür Pala,Defense & Security Analysis,41,4,p669 - p690,2025,10.1080/14751798.2025.2548653,03-Oct-2025,https://doi.org/10.1080/14751798.2025.2548653,148.0,0.0
India arms for the future,,Strategic Comments,15,1,p1 - p2,2009,10.1080/13567880902820250,25-Feb-2009,https://doi.org/10.1080/13567880902820250,89.0,1.0
Characterisation of Technological Collaborations and Evolution in the Spanish Defence Industry,"Francisco J Callado-Muñoz, Marta Fernández-Olmos, Marisa Ramírez-Alesón, Natalia Utrero-González",Defence and Peace Economics,33,2,p219 - p238,2022,10.1080/10242694.2020.1799168,28-Jul-2020,https://doi.org/10.1080/10242694.2020.1799168,349.0,7.0
Italy's defence policy in the European context: the case of the European Defence Agency,Antonio Calcara,Contemporary Italian Politics,9,3,p277 - p301,2017,10.1080/23248823.2017.1396064,09-Nov-2017,https://doi.org/10.1080/23248823.2017.1396064,456.0,4.0
"THE TRANSATLANTIC DEFENCE R&D GAP: CAUSES, CONSEQUENCES AND CONTROVERSIES",Andrew D James,Defence and Peace Economics,17,3,p223 - p238,2006,10.1080/10242690600645134,25-Jan-2007,https://doi.org/10.1080/10242690600645134,470.0,15.0
Measuring Productivity of the Spanish Defence Industry,"Mónica Domínguez Sánchez, Antonio Fonfría",Defence and Peace Economics,34,4,p527 - p545,2023,10.1080/10242694.2022.2053369,28-Mar-2022,https://doi.org/10.1080/10242694.2022.2053369,331.0,1.0
Doctrine and Defence Transformation in Norway and Sweden,"Olof Kronvall, Magnus Petersson",Journal of Strategic Studies,39,2,p280 - p296,2016,10.1080/01402390.2015.1115040,28-Dec-2015,https://doi.org/10.1080/01402390.2015.1115040,1762.0,4.0
Technical challenges and opportunities for future air defence,A J Wilson,The RUSI Journal,139,5,p64 - p71,1994,10.1080/03071849408445859,20-Mar-2008,https://doi.org/10.1080/03071849408445859,24.0,1.0
Drivers of R&D investment in the defence industry: evidence from Spain,"Javier García-Estévez, Elisa Trujillo-Baute",Defence and Peace Economics,25,1,p39 - p49,2014,10.1080/10242694.2013.857464,24-Jan-2014,https://doi.org/10.1080/10242694.2013.857464,617.0,15.0
"Strategic and Budgetary Necessity, or Decision-making 'Along the Grain'? The Royal Navy and the 1981 Defence Review",Edward Hampshire,Journal of Strategic Studies,39,7,p956 - p978,2016,10.1080/01402390.2016.1220365,22-Aug-2016,https://doi.org/10.1080/01402390.2016.1220365,779.0,5.0
DEFENCE SPENDING AND ECONOMIC GROWTH IN THE EU15,"John Paul Dunne, Eftychia Nikolaidou",Defence and Peace Economics,23,6,p537 - p548,2012,10.1080/10242694.2012.663575,30-Apr-2012,https://doi.org/10.1080/10242694.2012.663575,1998.0,64.0
Defence industry in Iran - between needs and real capabilities,Robert Czulda,Defense & Security Analysis,36,2,p201 - p217,2020,10.1080/14751798.2020.1750184,17-Apr-2020,https://doi.org/10.1080/14751798.2020.1750184,951.0,8.0
Missile defence from the inside: An interview with the director of the missile defense agency,Michael Rance,The RUSI Journal,148,1,p38 - p44,2003,10.1080/03071840308446851,20-Mar-2008,https://doi.org/10.1080/03071840308446851,44.0,1.0
Nuclear offence and Defence: The future for Europe,David Shukman,The RUSI Journal,138,2,p20 - p26,1993,10.1080/03071849308445692,20-Mar-2008,https://doi.org/10.1080/03071849308445692,12.0,0.0
France's 'return' to NATO: implications for its defence policy,Frédéric Pesme,European Security,19,1,p45 - p60,2010,10.1080/09662839.2010.507245,04-Oct-2010,https://doi.org/10.1080/09662839.2010.507245,880.0,10.0
The defence firm of the future,ERIC GATES,Defence and Peace Economics,15,6,p509 - p517,2004,10.1080/1024269042000246666,25-Jan-2007,https://doi.org/10.1080/1024269042000246666,266.0,4.0
Bound by barriers: demystifying the constraints on an elevated Kuwait-Türkiye co-operation in the defence realm,"Ali Bakir, Engin Koç",Defense & Security Analysis,41,4,p691 - p713,2025,10.1080/14751798.2025.2549198,09-Sep-2025,https://doi.org/10.1080/14751798.2025.2549198,723.0,0.0
Constraining missile defence†,"Glenn Diesen, Conor Keane",Defense & Security Analysis,32,2,p129 - p143,2016,10.1080/14751798.2016.1160487,22-Mar-2016,https://doi.org/10.1080/14751798.2016.1160487,649.0,0.0
Estimated UK employment dependent on ministry of defence expenditure and defence exports,Anthony J W Turner,Defence and Peace Economics,15,4,p331 - p342,2004,10.1080/1024269032000110559d,23-Nov-2017,https://doi.org/10.1080/1024269032000110559d,158.0,7.0
Coastguards in peril: a study of Arctic defence collaboration,Andreas Østhagen,Defence Studies,15,2,p143 - p160,2015,10.1080/14702436.2015.1035949,29-Apr-2015,https://doi.org/10.1080/14702436.2015.1035949,913.0,11.0
Civil defence in a nuclear disaster,G D Kersley,Medicine and War,1,2,p109 - p114,1985,10.1080/07488008508408622,22-Oct-2007,https://doi.org/10.1080/07488008508408622,17.0,0.0
Cybersecurity and cyber defence: national level strategic approach,"Darko Galinec, Boris Guberina, Darko Možnik",Automatika,58,3,p273 - p286,2017,10.1080/00051144.2017.1407022,25-Jan-2018,https://doi.org/10.1080/00051144.2017.1407022,40228.0,40.0
'Keeping the wheels turning': oil preparedness schemes as an economic defence strategy in Cold War Sweden,"Camilla Eriksson, Jenny Ingemarsdotter",War & Society,44,4,p572 - p586,2025,10.1080/07292473.2025.2532251,06-Aug-2025,https://doi.org/10.1080/07292473.2025.2532251,294.0,0.0
Chemical and biological defence: An essential national security requirement,Graham S CB Pearson,The RUSI Journal,140,4,p20 - p27,1995,10.1080/03071849508445938,20-Mar-2008,https://doi.org/10.1080/03071849508445938,15.0,0.0
How are defence companies responding to EU defence and security market liberalization? A comparative study of Norway and Sweden,"Fulvio Castellacci, Arne Martin Fevolden, Martin Lundmark",Journal of European Public Policy,21,8,p1218 - p1235,2014,10.1080/13501763.2014.916338,22-May-2014,https://doi.org/10.1080/13501763.2014.916338,1207.0,13.0
THE EFFECT OF DEFENCE R&D ON MILITARY EQUIPMENT QUALITY,"Steven Bowns, Keith Hartley, Andrew Middleton, James Reid",Defence and Peace Economics,17,2,p117 - p139,2006,10.1080/10242690600636869,23-Aug-2006,https://doi.org/10.1080/10242690600636869,936.0,23.0
"BIG SCIENCE, SMALL COUNTRY AND THE CHALLENGES OF DEFENCE SYSTEM DEVELOPMENT: AN AUSTRALIAN CASE STUDY","P Hall, S Markowski, R Wylie",Defence and Peace Economics,17,3,p257 - p272,2006,10.1080/10242690600645233,25-Jan-2007,https://doi.org/10.1080/10242690600645233,494.0,7.0
EFFECTS OF MILITARY SPENDING ON THE PROFITABILITY OF SPANISH DEFENCE CONTRACTORS,"Paulina Correa-Burrows, Antonio Fonfría",Defence and Peace Economics,21,2,p177 - p192,2010,10.1080/10242690903569007,30-Apr-2010,https://doi.org/10.1080/10242690903569007,444.0,20.0
"Chains, networks and shifting paradigms: the UK defence industry supply system",PAUL DOWDALL,Defence and Peace Economics,15,6,p535 - p550,2004,10.1080/1024269042000246639,25-Jan-2007,https://doi.org/10.1080/1024269042000246639,822.0,16.0
